Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Dalton Knecht,23,LAL,SF,43,12,20.9,3.4,7.3,.459,1.6,4.5,.352,1.8,2.9,.626,.566,1.0,1.2,.808,0.6,2.6,3.1,1.0,0.3,0.1,0.5,1.3,9.3,
Royce O'Neale,31,PHO,SF,38,9,25.1,3.3,7.8,.424,2.3,5.6,.406,1.1,2.2,.471,.569,0.4,0.6,.773,0.9,4.5,5.4,2.1,0.9,0.6,1.1,2.2,9.3,
Ziaire Williams,23,BRK,SF,32,16,22.6,3.1,7.8,.402,1.2,3.8,.320,1.9,4.0,.480,.480,1.8,2.3,.808,1.0,3.7,4.7,1.4,1.0,0.4,1.1,2.6,9.3,
Jalen Wilson,24,BRK,PF,45,11,27.2,3.2,8.2,.389,1.4,4.5,.310,1.8,3.7,.485,.474,1.5,1.8,.831,1.1,2.4,3.5,1.9,0.5,0.0,1.2,2.3,9.3,
Anthony Black,21,ORL,PG,43,5,24.6,3.2,7.9,.407,0.6,2.3,.257,2.6,5.5,.471,.445,2.2,2.9,.746,0.6,2.1,2.7,3.5,1.0,0.6,2.0,2.3,9.2,
Kentavious Caldwell-Pope,31,ORL,SG,45,45,30.7,3.2,7.7,.417,1.5,4.8,.312,1.7,2.9,.592,.514,1.3,1.4,.877,0.4,1.6,1.9,1.9,1.6,0.6,0.9,1.9,9.2,
Tosan Evbuomwan,23,BRK,SF,12,0,23.5,3.3,7.6,.440,0.7,2.7,.250,2.7,4.9,.542,.484,1.8,2.6,.710,1.1,2.9,4.0,1.3,0.6,0.3,1.8,1.9,9.2,
Keon Johnson,22,BRK,SG,44,24,22.3,3.3,9.0,.371,1.4,4.8,.301,1.9,4.3,.449,.451,1.0,1.3,.780,0.7,2.5,3.2,1.8,0.9,0.3,1.3,2.5,9.2,
Yves Missi,20,NOP,C,43,37,27.0,3.6,6.4,.566,0.0,0.0,.000,3.6,6.3,.568,.566,2.0,3.0,.661,3.6,4.5,8.1,1.4,0.6,1.4,1.2,2.2,9.2,
Larry Nance Jr.,32,ATL,PF,16,3,19.4,3.6,6.5,.548,1.6,3.4,.481,1.9,3.1,.620,.673,0.4,0.5,.875,1.1,3.2,4.3,1.6,1.0,0.7,0.8,1.5,9.2,
